id_amostra;Mensagem;avaliacao_manual;confianca_1a5;justificativa_curta
Q21;"Por do Sol, Orla de São Pedro da Aldeia, região dos Lagos, Rio de Janeiro.#creatorsearchinsights #sunset #pordosol #riodejaneiro #praia""";Ham;4;
Q22;É sério assim que você soletra o nome dele?;Ham;5;
Q23;?? passaporte vacinoçãor ?? ? ex presidiário eleger carteirinha vacino Covid 19 obrigatório nunca infelizmente ? ?? percar arrisque vida tomar veneno ?? ?? fazer carteirinha vacino livre de esse mal ?? • constar conect sus poupa tempo ? • dose cair hora ? • acompanhar qr coder ? • servir todo país estados ? ?? pagamento após confirmação dose app ?? ?? percar emprego Faculdade ?? chame privado vacinonaoofc ?;Spam;5;
Q24;BÔNUS ESPECIAL HMV 500 libras em vouchers HMV genuínos para serem ganhos. Basta responder a 4 perguntas fáceis. Jogue agora! Envie HMV para 86688 Mais informações: www.100percent-real.com;Spam;5;
Q25;Fornecemos:LC (uso/à vista)SBLC/BG (760)PoF LettersRWA (799)DLCs (700)Podemos aconselhar MT700s e MT760sNós somos o bancoNÃO um correspondente, NÃO um corretor, NÃO um MandatoClaire AkalizaGerente de relacionamentoUAE DUBAIEID de e-mail:[email protegido]Site: www.bwibank.com;Spam;4;
Q26;“Eu prefeita reeleita com 76% dos votos”;Ham;5;
Q27;"Faltando 4 dias corridos pro 1 turno em 2018 o DataFolha disse que Bolsonaro tinha 28%Nas urnas 4 dias depois fez 46%”""";Ham;4;
Q28;São simplesmente perfeitos, exatamente o que eu procurava.;Ham;5;
Q29;"Olá, associado, como uma empresa de finanças e investimentos que é um fornecedor líder de financiamento comercial, financiamento de projetos e financiamento; Também oferecemos Instrumentos Bancários descontáveis ??a taxas tão baixas quanto dois por cento (2%) do BG exigido | SBLC | DLC | LC | OP | MTN | Valor nominal dos saques bancários. Oferecemos basicamente uma ampla gama de instrumentos financeiros, incluindo; e podemos concluir uma transação dentro de 48 a 72 horas, dependendo da exigência do Locatário / Comprador. Caso você tenha interesse no aluguel e venda destes, por favor, informe-nos e teremos o maior prazer em compartilhar com você nossos TERMOS PROCESSUAIS em relação ao início de uma TRANSAÇÃO IMINENTE. Mediante a aceitação de sua parte em trabalhar com os Termos da Locadora, teremos Contrato Legal em vigor para que a transação seja estabelecida entre o Requerente e o Beneficiário e a entrega do Instrumento Bancário será de acordo com a Verbiage (Texto) escolhida pelo Banco do Beneficiário. Caso tenha interesse, basta entrar em contato via e-mail, Skype ou WhatsApp Com os melhores cumprimentos, MR Jogesh Chandra Jerath Para mais detalhes entre em contato conosco. +447930399796Skype :live:.cid.772d12a97db2fa12E-mail :[email protegido]";Spam;3;Tem caracteristicas de spam, mas pode ser verdadeiro
Q30;Estes parecem lindos e tão legais. O único problema é que não é realmente uma malha.;Ham;5;
Q31;Fui o governador mais popular do Brasil, olhe no Datafolha;Ham;5;
Q32;Vou tentar por 2 meses ha ha só brincando;Ham;5;
Q33;“[O MDB] É o partido que tem o maior número de prefeitos, de vice-prefeitos, de vereadores e de vereadoras”;Ham;4;
Q34;Como um cliente valioso, tenho o prazer de informar que, após a análise recente do seu Mob No., você receberá um prêmio de bônus de £ 1.500, ligue para 09066364589;Spam;5;
Q35;Prazer em conhecê-lo aqui, sou Dorica Lawson e tenho uma doação de caridade para você cuidar, o projeto é para menos privilégios, órfãos de mãe, viúvas e muito mais, responderei com mais detalhes sobre o projeto, escreva para mim.doriklaw97@gmail. com,;Spam;4;
Q36;obrigar Admin tento sacar reflete instantaneamente contar poder depositar tarde novamente continuar investimento confirmei pagar;Ham;4;
Q37;principolmente querer ogrodecer potrioto confior trobolho equipe um guerreiro infelizmente muito brosileiro poder dizer chegor contobilizor 123 032 membro 1? turno muito postor comprovonte seguir opogor ontes finol contogem soir grupo confior trobolho equipe ficor 20 671membro ir todo omorgor preço nodo infelizmente pouco divulgor link grupo ter noção livre o último oportunidode mostror vitório formo democroticomente jogorom nodo poder fozer opoio equipe ficor coso sentodo mostror insotisfoção pior oindo resto oceitor ir ruos mostror sotisfeitos guerreiro que deus obençoe noção;Spam;5;
Q38;Haha você é sempre tão convincente.;Ham;5;
Q39;(...) hoje são 42 [bases do Segurança Presente];Ham;5;
Q40;Registro Whois para MdBusinessSales.comRegistrar GMO INTERNET, INC. GMO Internet Group, Inc.;Spam;3;Apenas tem o nome da empresa, mas pode talvez ser spam se tiver dialogo
